Code,DatasetID,Provider,Country,lat,lon,GeoBlock,Clay,Silt,Sand,OC,Db,dg,Sg,Instrument,Landuse_Code,Texture Class,Ksat,logKsat,Porosity,Porosity_sq,PoreRatio,BD_Adams,RelCompaction,OrganicPore,log_dg,Sg_,KC_logK,Sand_Clay
21,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,15.881,30.514,53.605,0.691,1.256,0.11108706574034038,13.60399429246856,4,6,SANDY LOAM,5.288,0.7232914464775838,0.5260377358490567,0.27671569953720193,0.6479823380641571,1.3699486846109628,0.9168226621252447,0.36349207547169815,-0.9543365045569246,13.60399429246856,2.194721440945663,3.3754171651659215
22,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,27.447,20.002,52.55,0.729,1.341,0.07331424395616902,19.864492332548565,4,6,SANDY CLAY LOAM,1.06,0.02530586526477026,0.49396226415094335,0.24399871840512632,0.47066890788459775,1.36531766666134,0.9821890046139922,0.3600984905660377,-1.1348116396755004,19.864492332548565,1.6949235121739639,1.9145990454330164
23,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,26.202,19.963,53.835,0.574,1.34,0.08003764882733784,19.3753411645899,4,6,SANDY CLAY LOAM,1.103,0.04257551244019059,0.49433962264150944,0.24437166251334994,0.4724527881572145,1.384406700987373,0.9679236593150685,0.2837509433962264,-1.0967056776109247,19.3753411645899,1.772778342591723,2.0546141515914815
24,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,27.656,18.43,53.914,0.742,1.342,0.0765563559130348,20.24779516875738,4,6,SANDY CLAY LOAM,1.032,0.013679697291192559,0.49358490566037727,0.24362605909576354,0.46889146370373597,1.363740550527302,0.9840581476301371,0.36623999999999995,-1.1160187471816576,20.24779516875738,1.7308661135113779,1.9494503905120049
25,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,6.678,24.897,68.425,0.643,1.284,0.25844832350170793,8.684946285055744,4,6,SANDY LOAM,9.645,0.9843022319799033,0.5154716981132075,0.2657110715557137,0.5834131000794147,1.3758434894080112,0.9332456851996087,0.3314483018867924,-0.5876262806613847,8.684946285055744,2.8825548968239976,10.246331236897275
26,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.027,21.587,69.386,0.293,1.31,0.2480111224403707,9.864404104722272,4,1,SANDY LOAM,8.457,0.9272163305912648,0.5056603773584905,0.255692417230331,0.5290855856796834,1.420409684832168,0.9222691269911937,0.1481584905660377,-0.6055288421328039,9.864404104722272,2.804299527093181,7.686496067353495
27,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,7.211,23.275,69.514,0.368,1.272,0.2643684559462541,8.885187032428782,4,6,SANDY LOAM,10.468,1.0198637139678433,0.52,0.27040000000000003,0.6102777777777778,1.4106184088164722,0.9017321708336595,0.19136,-0.577790365471355,8.885187032428782,2.921778106723216,9.63999445291915
28,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.485,25.376,58.139,0.488,1.369,0.12866735842851254,14.206038104655539,4,1,SANDY LOAM,7.349,0.8662282473796472,0.4833962264150943,0.2336719117123531,0.42324771195982586,1.3952300791465695,0.9812001765596869,0.235897358490566,-0.8905316151188025,14.206038104655539,2.137362670304369,3.526781922960267
29,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,13.81,27.488,58.702,0.488,1.402,0.14331874527407543,12.744340864567437,4,1,SANDY LOAM,5.028,0.7013952690139201,0.4709433962264151,0.22178768244927022,0.37316581742620925,1.3952300791465695,1.0048521895812133,0.22982037735849056,-0.843697002647503,12.744340864567437,2.1763391310588247,4.250687907313541
30,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.448,24.756,58.796,0.488,1.348,0.13197023982307413,14.214249899443935,4,1,SANDY LOAM,7.904,0.8978469315795716,0.4913207547169811,0.24139608401566393,0.458360615946718,1.3952300791465695,0.9661488955459884,0.23976452830188677,-0.8795239940805974,14.214249899443935,2.193990587712617,3.57465953307393
31,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.533,25.352,56.115,0.64,1.367,0.11173564497860335,15.233517021313345,4,6,SANDY LOAM,7.95,0.9003671286564703,0.48415094339622644,0.23440213599145607,0.42647842539028763,1.3762135995542681,0.9933051093542076,0.3098566037735849,-0.9518082597578449,15.233517021313345,2.018111828049346,3.02784222737819
32,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.467,26.504,57.029,0.592,1.413,0.12359766021216245,14.139700858463032,4,6,SANDY LOAM,5.908,0.7714404866399119,0.46679245283018866,0.21789519401922391,0.3577493894549684,1.3821625597793423,1.0223110082113502,0.2763411320754717,-0.9079897506595402,14.139700858463032,2.029430681447059,3.463229489281594
33,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,17.375,25.909,56.716,0.762,1.389,0.1186226419114829,14.626668434443086,4,6,SANDY LOAM,7.829,0.8937062930647135,0.4758490566037735,0.22643232467070126,0.39218853562255773,1.3613213199985843,1.0203322166448143,0.36259698113207545,-0.9258324077786428,14.626668434443086,2.033661360262623,3.264230215827338
34,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.237,29.374,54.389,0.975,1.4,0.11301520428160629,13.848616693505845,4,1,SANDY LOAM,5.396,0.7320719409998666,0.4716981132075472,0.22249911000355999,0.3760348479014247,1.3360791153626692,1.047842140410959,0.45990566037735847,-0.9468631256191204,13.848616693505845,1.9733331240053473,3.3496951407279676
35,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.154,26.889,54.957,0.761,1.322,0.10841158607233221,14.929454782351394,4,6,SANDY LOAM,8.307,0.9194442104652369,0.5011320754716981,0.25113335706657175,0.505691252073418,1.3614420776542862,0.9710291915450099,0.3813615094339623,-0.96492430176077,14.929454782351394,2.065868118851108,3.0272667180786605
36,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,15.863,28.698,55.439,0.878,1.379,0.1189006572089096,13.718025134931109,4,1,SANDY LOAM,6.073,0.7834032811225635,0.4796226415094339,0.23003787824848695,0.40743866987651245,1.3474573212044014,1.0234090373767124,0.42110867924528295,-0.9248157448647897,13.718025134931109,2.0522620371566402,3.4948622580848516
37,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.192,27.567,63.241,0.939,1.313,0.1968237865136912,10.250372370614242,4,6,SANDY LOAM,7.414,0.8700525816935449,0.5045283018867924,0.25454880740477037,0.5231411655751765,1.3402794597161178,0.9796464390181016,0.47375207547169806,-0.7059224174524733,10.250372370614242,2.5986053422779425,6.880004351610095
